placeOfOrigin
非洲大陆
塞拉利昂
喀麦隆
加蓬
宁冈县
白马
婆罗洲
滇西南
腾格里
巴丹吉林
通古
北亚
哈尔滨
东南地区
南岭
中条山
七岛
台南县
美姑县
长阳
永丰县
丰城
海拉尔市
屏山
非三洲
马鞍山
富阳
闽侯
长沙
北自
新疆自治区
西西伯利亚
台山
溆浦
中国北方地区
中和寺
哈尔滨市
昌化县
云溪坞
歙县
三阳
镇宁
灌阳
敦煌
岱山县
锡兰
雨山区
山至
土库曼斯坦
东川市
广南
三省
广州市
四州
鼎湖山
平阳
雁荡山
长甸
珲春
禄劝县
尖峰岭
原苏联
重庆地区
雅江
茂县
巫山
邓崃
索县
山阳县
南平
巴马
东西
岷江
辽宁省
北疆
巫山县
南湖
抚州
苏州
河北省
文山州
马关县
广南县
陕北
牡丹江
济南
非律宾
灌南
西安
阳山
圣赫勒拿岛
东达
马来群岛
本山
山野
新宁
永州
川南
宣城
都匀
盐边县
黔北
珠江三角洲
闽江
圭亚那
南极
文县
西盟
新南
太平洋地区
北海道
绥江
雅安
广西省
坦桑尼亚
太行山
东南半壁
牡丹
大武山
绥芬河
安第斯山
塔西
阿尔卑斯山
里海
黑海
西达
伊犁河
二省
奎屯
阴山山脉
松林
奥地利
玻利尼
沙区
西至
南至
苍南
聊城
潍坊
大屯山
广植
兴山
荔浦县
葡萄牙
以色列
赣州市
崇义县
金阳
云南高原
上帕
苍山
墨竹工卡
比利时
吉大港
茂汶
漳平
长汀
凤县
昆士兰
英山
五指山
阳江
海陵
留旺尼
塞舌尔
菲律
丘陵地区
深圳
龙里县
东欧
宁谷
乌恰县
平山
江宁
东自
越北
嵩县
伊宁
呼伦贝尔市
南京市
西西里
牙买加
东坡
山西省
房县
峨边
峨眉
乌蒙山
越西
荥经
桐梓
青城山
鹤峰
吉首
天平山
沅陵
都江堰
江口
绥阳
永善
盘县
峨山
康县
河畔
祁连山
镇巴
休宁
岳西
潜山
遂昌
松阳
华江
万县
秀山
叙永
锡连
额尔齐斯河
宜丰
秭归
固定沙丘
合丰
岷山
长安
华山
西峡
绩溪
江山
临安
九万大山
酉阳
平伐
镇雄
德干高原
鼎湖
儋州
肃南
岷县
祁连
贵南
漳浦
九州
德化
武夷
贺县
赣南
崂山
新加坡
南山
大埔
龙门
凤凰山
敦化
山阳
天竺
武冈
桂山
宁国
祁门
鄞县
桐庐
东阳
衢县
宜黄
梅县
济州岛
四国
西山
井冈山
永宁
洱源县
鲁甸
漫江
山沟
庐定
锡林郭勒盟
二连
上杭
曲江
龙川
容县
钦县
澜沧江
沅江
龙津
云浮
江达
昌都地区
琼海
长岭
枣庄
丹巴
瑶山
思南
平东
乌兰察布盟
乌里
乌苏
舟山群岛
百山
南岳
利亚
太华山
阿坝
自治州
西藏昌都地区
武陵山
兰坪
类乌齐
阿尔金山
巴彦淖尔盟
天山南北
伊犁州
乌库
喀什
垣曲
徽县
桐柏
甘孜
开县
澄江
阿克塞哈萨克族自治县
阿拉善右旗
阿拉善左旗
五台山
雁门关
新疆阿勒泰地区
千山
孟海
永德
陇川
桃园
福海
朗县
嘉黎
哀牢山
塞内加尔
苏丹
延边
凤城
额尔古纳
科尔沁右翼前旗
瑞金
遂川
恭城
松岗
马山
石山
江酉
石城
龙南
宁都
会昌
平南
南丹
堪察加
喀喇昆仑
伊克昭盟
中卫
临泽
太平山
新平
狼山
共和国
日喀则
南湖大山
江北
永川
南宁市
昌城
狮泉河
墨江
安多
天山山脉
十堰
榕江
塔里木盆地
和田地区
伊犁河谷
莫索湾
汕头
合浦
贵池
黑山
瓜哇
黄龙山
龙山
芷江
连县
东山
龙胜花坪
灵山
漳河
安宁县
平坝
屏山县
象州
欧洲地区
诸暨
枫桥
西黄三坑
东兴
崖县
昌都
洛隆
塔城地区
鄱阳湖
东湖
南疆
喀什地区
马边河
江孜
南木林
阿陵山
都江堰市
开阳
息烽
阳城
青山
长岛
伊春市
吉林市
沈阳
百花山
内丘
霍县
中阳
兴县
随州
东俄洛
舟曲
户县
西宁
湟源
乐都
湟中
固原
堪察加半岛
察隅县
岐山
眉县
洋县
汉阴
固城
九华山
顺昌
沙县
通城
南江
达县
合川
德昌
泰宁
滨川
的腊兹多耳诺耶
长乐
莆田
龙海
诏安
澎湖
珠海
上坡
珠穆朗玛峰
天台山
宜阳
滇西
滇南
宁安
安宁
伊犁地区
甘南
白城
陇东
芮城
贡噶山
宁南
工布江达
溪沟
金沙江
山北坡
应山
冰岛
肇庆
象县
永平
巍山
泸西
北川
喜德
山丹
衡阳
桃源洞
灌木林
掸邦
黔阳
广丰
上饶
贵溪
青田
秦山
东京
天马
筠连
大雾山
南高岭
灵川
张掖
兴海
都兰
乌兰
庆云
黟县
巴中
均县
汉水流域
刚察县
舟山
东亚地区
萨摩亚群岛
韶关
绰斯甲
扎木
巴瓦
易县
邢台
略阳
绵阳
贵县
淮安
高邮
扬州
镇江
镇海
安西
晋城
炉霍
中和林
邯郸
涉县
黎城
林县
辉县
商南县
南郑县
瑞安
缙云
临海
兴国
通山
永兴
武岗
花县
德庆
九江
东及
兴隆
合湾
高州
莲山
版纳
巴厘
山南
太原市
黔西
关岭
勐遮
乌达盟
锡盟
宜春
通江
青川
太宁
北戴河
商城
巴县
江安
长宁
乐山
建欧
广昌
衡山
河川
浦北
岭溪
雁山
三江
鼓山
金沙江流域
什邡
抚松县
渭河流域
天池
涪陵
江津
北江
云杉林
三亚市
阜平
密云
中洛
万山
南汇
藤县
富宁县
西藏阿里地区
镇坪
河西走廊
永昌
渭河
肃北
柴达木盆地
磴口
九峰山
藁城
随县
甘肃兰州
河东
留坝
雀儿山
靖边
京城
留尼汪岛
拉尼西亚
泾源
南桥
芒市
嘉定
阿里地区
溪河
那曲地区
太原
东巴
甘南州
蔚县
兴隆山
南县
济源
贝加尔湖
青阳
川西
巴郎山
山及
涞水
临县
隰县
大通河
义敦
梁河
北海
波齐
坝王岭
阿克苏
长顺
珠江口
南非洲
新建
贵平
西双版纳州
阿城
屯及
赤湖
贡噶岭
钦朗
旧大陆
雅砻江
黔南
镇安
岚皋
紫阳
南郑
勉县
浙川
南召
新县
南漳
蛟河
临江
沁县
翼城
昆嵛山
锡林郭勒
西乡
商县
成县
蒙城
泗阳
东海
巴哈马
尼加拉瓜
地及
马岛
宜章县
龙塘山
佛坪县
大龙潭
湄潭
沭川
铜古
连州
焉耆
拜城
宜台
晋川
缙云山
太平
沙捞越
中脉
鹅銮鼻
日月潭
黄南
镇原
眉潭
新昌
乐东县
惠阳县
台山县
山和
茅山
兴安县
云龙
柳江
滦川
君山
涿鹿
綦江
桂北
合江
丰都
青岩
融水县
上思县
永富省
加里曼丹岛
泗溪
南丰
赣县
南康
莆城
永春
祁阳
佛顶山
镜泊湖
岫岩
夏县
伊阳
贵川
匈牙利
长汶
里塘
山东半岛
宜都
秦岭山脉
渭南
武山
锦州
阜新
咸海
德江
四明山
上林县
通州
兰山
竹山
安图县
定西
甘肃河西走廊
美洲地区
松多
河坝
釜山
辽河
勐连
钦州
巴坤
密波
黑江
庆阳
勐腊县
沙河
延平
黄冈
乌来山
沿河
罗定
番禺
安县
临潭
宝兴县
浅海
哈巴河县
宽甸
上及
北半部
涿鹿县
长城
居庸关
芜湖
莲塘
准格尔旗
嵩山
汉川
赤峰
聂拉木县
青龙山
揭西
茨姑
挪威
波特
仙霞岭
莲花山
羌塘
格鲁吉亚
庐水
黑海地区
东沙群岛
武昌
呼伦贝尔盟
大兴安岭地区
兴安盟
佛海
通海
伊朗高原
新寨
南沙群岛
玉龙雪山
铅海
璧山
瓮安
务川
邛峡
泸县
新丰县
鹿儿岛县
旧平伐
阿尼桥
东陵
开朗
乌盟
陕南
五寨
洞庭湖区
松滋
汉阳
江陵
鄂川
江山县
哲里木盟
鞍山
涞源
古北口
涿麓
南昆山
潮安
西江
博克达山
锡林浩特
剑阁
丹东
囊谦县
北京地区
东安
云县
乃东
终南山
湛江
九洲
敦义
浦城
伊盟
温塘
临湘
皖南
山岭
酉藏
巴贡
巫县
罗家
维西县
罗山
吉木萨尔
镇平
金城
四平
宁城
沁源
扬威
彰浦
沔县
华非
山林
彰武县
黄土高原地区
呼和浩特市
平江
吉木乃县
海州
乌苏里江
香岭
六盘山
茂汉
陇县
连江
察瓦龙
临夏
丽江县
华北平原
黄土高原
松巴
南桐
西沙
永兴岛
云山
无锡
远东区
虎饶
新平县
商南
桐柏山
巢县
泾县
屯溪
巴山
埔城
定南
保亭县
诸县
济宁
尖山
桦川
长白
宁源
墨脱县
黄埔
汉中
宁羌
褒城
塔山
谷城
安江
安东
大古
宁阳
柬浦寨
海滩
高雄港
腾格里沙漠
涟水
塔克拉玛干
云花
西江流域
华坪
江城
安庆
金南
云雾山
铜陵
垫江
汶县
防山
丹寨
台江
郧县
阳县
长寿
温岭
热隆
龙马
胶州湾
柳河
复县
栖霞
芝罘
威海
波密县
古乡
济洲岛
上虞
寿山
云峰山
虞南
宜山
关中地区
新乡
武陵
旁多河
佐治亚州
临洮
嵩南
西林
岘山
萨噶
广西南宁
江华县
巴布亚
金塔县
江浦
鸭绿江
兴城
绥中
拉卜楞
博古
外高加索
大湾
宁冈
桐木
洞庭湖
福山
南庄
河滩地
天柱县
涪江
嫩江
南盘江
东乌珠穆沁旗
喜马偕尔邦
华县
洮县
斐南
德斯
温宿县
忻城
青海柴达木盆地
那大
澎湖列岛
瑞昌
东城
托县
镇康县
黔宁
徐州
南沱
东岛
山坡地
西坡
丹江口
潞南
湘西
浮县
米易县
普兰县
宜川
云林
禹城
唐古拉山
甘孜州
阿坝州
海源县
密克罗尼西亚
佛冈
铜山
肇东
旧本
邛崃山
广宁
桦甸
唐县
赤城
龙关
松花江流域
浑江
多雄拉山
云阳
北岭
广宁省
北流
旬阳
温泉县
奈尼
昌巴
大坪
鄯善
涞阳
夹江
两阳县
涧溪
中和多石
漳县
勐喇
成都
迁西
蓟县
青沟
东台
磁县
通县
连阳
五华山
罗蒙
南田
坝沙
西里伯
几内亚
微江
宁镇
新源县
和澳洲
中央山脉
黑龙潭
坪石
扎木至
加隆坝
巴音郭楞
河镇
亚伯
离山
横山
会宁
庄河县
螺髻山
大牛河
马亚
承德地区
鸡西
东宁
靖安
旁遮普
普威乡
九寨沟
得荣县
融安
阿萨
海原
乌拉山
松江
黑河
塔斯马尼亚
北屯
呼伦贝尔草原
古兰
澳三洲
淮河流域
酉部
寿江
新江
芬兰
沙堡
洋林山
镇龙区
陵川
龙州县
珠江流域
南充
塞里木湖
休宁县
太湖
中至
北里曼丹岛
马尔康县
山村
荔波县
屏南
思茅县
龙县
永城
神农架林区
蒲县
旧扎木
蛇岛
浏阳
峨眉山市
澳大亚利
柬寨埔
永绥
江及
晋东
阿穆尔州
虎林
伊兰
密山
白河
彰武
栖霞山
珠峰
冰川
广安
华蓥山
顺溪坞
昌黎
东沟
临苍
临武
治高县
扎鲁特旗
新店
南澳
卑南
玛区
瑞士
昌江县
巴坦
石垣岛
勐马
西藏地区
芒康县
东疆
浪卡子县
长江三峡
珠江
沁水
黄坑
荔浦
金沙江畔
沙湾县
后山
中美及
梨山
华阴
洛阳
广汉
丰镇
丽江地区
沧江
绥宁
泸州
象州县
波罗的海
大海
平南县
洛宁
豫东
九连山
澳边
尖岭
七星山
北极区
东南欧
阜山
克孜州
陵阳
四面山
普陀山
武安
所罗门
绥定
靖县
华池
山阴
环县
尖扎县
吉隆县
旁及
谅山
稀树草原
龙溪
港湾
缅宁
宁海
常山
西阳
盖县
海城
石岛
台东县
中西
新都桥
巴尔干
赛里木湖
华平
梧桐山
扶绥县
茂名市
罗田县
尼西
托里县
沁源县
首阳山
平利县
北京郊区
马耳山
右江
萧县
泰安
江河
苏门
句容县
巽他群岛
大姚县
清溪
顿河
阳高县
延安
南郊
石屏县
芒山
临川
柘荣
伊山
上林
梅州市
勐纳
长海
扎旗
洮南
霍城县
海原县
河口县
巴尔
日土县
札木
冕宁县
黎山
昆洛
里塘河
巴丹
龙江
郴县
临河
长春
狮子山
长安县
孝丰
慕阜山
大通县
乌丹
义山
大山
元阳县
山马
牙山
浩壁岭
盈江县
沿溪
巴拿豪
棉兰老岛
昭盟
喀旗
滦平
朔县
城康
西夏
岱山
贵德
龙安
沧远
黔县
沁阳
崆峒山
陇川县
西樵山
德江县
江县
佳木斯
乌兰浩特
银北
琼东
小苏
勐海县
曼东
维酉
緬甸
永北
临城
山海关
赣北
米溪
扶余县
新民县
太阳岛
辽阳
静江
漠河
符拉迪沃斯托克
兴旺
庆昌
五省
中南区
六省
西南区
龙潭山
崖州
华夏
华西
关坪
小河区
阿扎尼亚
玛纳斯县
青河县
湄洲岛
榆林地区
昆明市
韶山
巴仑台
高原区
陵云
沂水
辛口
茨口
准喀尔
黑龙
建昌
锦西
呼和浩特
凉城
莎基塘
大宁
箭峪岭
满州里
泸沽湖
钓鱼岛
北山
新巴尔虎右旗
东沙岛
山坑
定安县
宾阳
白沙县
大溪
哈夏
松花江
云西
丰南
迁安
青龙
思茅地区
林芝县
长山
绛县
恒山
巴塔哥尼亚
奇台县
巴盟
兴凯湖
鸡东
普格县
中岗
桂东
松潘县
喀西
淅川
芮城县
南仁山
山地区
大巴山区
龙陵县
宽甸县
襄阳
中南美
咸北
尼泊尼
鹰潭
波及
西苏
富川
克山县
克什克腾旗
红原县
宁强县
龙池
永顺县
美及
冲沟
解县
蒙古草原
河底
黔阳县
乐昌县
阿刹姆
桐岭
龙胜县
九龙半岛
西贡
泸水县
祁县
江口县
茂汶县
贡噶
开封市
亚南
巴斯
山南地区
福安
桂南
赤峰市
得克萨斯
博罗县
甸阳
斯湖
金河
昌多
易贡藏布
城山
邓崃山
高要县
永江
龟子角港
龟山岛
列岛
高雄市
太行山麓
定日县
卓罗巴村
天峨县
合山
巴音
乌兹别克
拉河
尕海
海西州
毛里塔尼亚
荷仓岛
定海
太姚
碧江县
尾山
松辽平原
图们江
红山口
布盟
远安
南岳山
洪雅县
临沧地区
尼治尔
庐西
桐城
广德
新阳
定番县
卧龙
长白山天池
海淀
金州
太岳山
林芝地区
长浪沟
眉山
布尔津县
海东
准格尔
黑水县
巴伦
台至
精河县
北海市
新海
蕲春
临沧县
六库
东江
自治洲
奈曼旗
新疆塔里木盆地
塔克拉玛干沙漠
绰尔盟
巴尔喀什
土岗
西双版纳傣族自治州
亚及
冈山
崇庆
南阳
夏河县
揭阳
巴嘎
阿尔泰山脉
曲松县
洛扎县
洋溪
三角城
那加山
榕山
珙县
宜汉
乌珠穆沁
玛沁县
西丰
绵竹
彭县
邛崃
庐州
葫芦岛
盱眙
常州
六安
伊川
西峰
新疆伊犁地区
三岔河
山东泰山
海南州
固乃斯
始兴县
镇雄县
亚东县
非各洲
巴噶
亚州
新宾
凡净山
滇西北
六顺
红海
革吉县
城口县
石咀
内湖
巴里
罗布泊湖
千岛群岛
广城
北的哈
罗江
枝城
韩江流域
麻栗坡县
儋水
阿塞木
阿他康拉山
硇洲
北达易门
华宁
罗北县
香山
禹县
朝阳
盖州
胶东半岛
两河
中尼
荣县
德格县
兰及
延庆
海口市
巴坡
畹町
两省区
成都平原
美各洲
北至
昭平县
横断山脉
庙王山
东山岛
赣榆
马尔维纳斯群岛
库尼亚
川东
大岛
土库曼
金秀瑶族自治县
勒河
山崖
南江县
阿塞拜疆
上金县
吐纳
拉不楞
延吉市
广西北海
澳阴
欧州
湘南
曼卡
小腊
谅山省
大岭
英吉沙县
宜城
岩昌
南半部
鄂县
良丰
四洲
黄溪洲
会东县
抚顺
岡沱
新安镇
白鲜
河及
白令海峡
海南藏族自治州
共和县
怒山
喀喇昆仑山
湄坛
东岗
阿穆尔河
雅贡
甘至
扎多北
东北区
茂汶及
莲江
栾川县
曲乡
里县
揭羊河
霞浦
江门
青云山
沙河市
长达区
阴那山
天莪
金门岛
郧西
加那列
广酉
宁江
大港
费县
吐尔哈梯
阿拉木图
伊塞克湖
北镇
义县
沂山
西营
太古
拉东坡
梅州
官山
邕宁县
临桂县
雷州
叶尔羌河
青州
土坡
江阴
大坝
额旗
古纳
德嘎
夏威夷岛
毛乌素沙漠
铜川
